,roi_1,roi_2,roi_3,roi_4,roi_5,roi_6,roi_7,roi_8,roi_12,roi_13,roi_15,roi_17,roi_18,roi_20,roi_21,roi_23,roi_25
roi_1,0.0,0.0596860188040641,0.07939725026059707,0.03996720907722551,0.044059218290872115,0.057237409884230206,0.026769454648295055,0.037104900255932105,0.06642374507357984,0.016069803336138444,0.0343407742333951,0.021452955074207247,0.017101941607737703,0.038853668891382864,0.02460878329618546,0.048943953172143506,0.05820553419682889
roi_2,0.0596860188040641,0.0,0.07089880170355967,0.02967373641945037,0.036889246536571885,0.056104146308634584,0.017849860177550858,0.030680318746643176,0.05612525560727577,0.008584833342091425,0.029338223319673784,0.013995869681463602,0.006882325635569342,0.03324334883509672,0.016533278338288715,0.04243945364727697,0.046634535399929955
roi_3,0.07939725026059707,0.07089880170355967,0.0,0.05953244253032364,0.06915930522645541,0.0794788882259505,0.046762616260703604,0.058056397922956415,0.08733893160128403,0.038906261027926936,0.058640845434236755,0.04134857333891273,0.0362667143309624,0.05970376677411371,0.045815844489199176,0.07086896056123804,0.07552617361886516
roi_4,0.03996720907722551,0.02967373641945037,0.05953244253032364,0.0,0.02938027266468557,0.04758597617730065,0.011375287329075223,0.02066729256142663,0.04942188952708093,0.0013685329337451146,0.02122704787352908,0.009548871877174347,0.002073017871027427,0.02700095969728622,0.01287573997989841,0.032839796747927585,0.039549264326078026
roi_5,0.044059218290872115,0.036889246536571885,0.06915930522645541,0.02938027266468557,0.0,0.0492756075037204,0.01686682709200954,0.02682891618894384,0.057582726779866755,0.007572125975143895,0.025553178907218976,0.011366585152416175,0.007735821757889727,0.03299597128737064,0.015510446337673872,0.04124640973477456,0.04473413523668024
roi_6,0.057237409884230206,0.056104146308634584,0.0794788882259505,0.04758597617730065,0.0492756075037204,0.0,0.03198485347269292,0.0435533230953043,0.06966503305763305,0.022596930719488872,0.03910967766296719,0.02481023220545628,0.020457315390576325,0.04550830793332061,0.03115980675288746,0.055359766845921476,0.06165231856695763
roi_7,0.026769454648295055,0.017849860177550858,0.046762616260703604,0.011375287329075223,0.01686682709200954,0.03198485347269292,0.0,0.010050304661154585,0.0411356759423791,0.003309511384563424,0.008505369954980302,0.0072460848312513315,0.002095226538719963,0.013606416741767546,0.012260877573225276,0.023927517481596494,0.026456685621509657
roi_8,0.037104900255932105,0.030680318746643176,0.058056397922956415,0.02066729256142663,0.02682891618894384,0.0435533230953043,0.010050304661154585,0.0,0.048357063499925634,0.0069636879997763135,0.017872965743233493,0.011489337294172064,0.00426303874540418,0.02310241998272311,0.017042007719009822,0.032286663653194325,0.034933843103681916
roi_12,0.06642374507357984,0.05612525560727577,0.08733893160128403,0.04942188952708093,0.057582726779866755,0.06966503305763305,0.0411356759423791,0.048357063499925634,0.0,0.017217524944820428,0.038580550088333165,0.019131729098918887,0.015948365261137187,0.03951030948950007,0.02505443758788964,0.04858365670242959,0.054585482912722416
roi_13,0.016069803336138444,0.008584833342091425,0.038906261027926936,0.0013685329337451146,0.007572125975143895,0.022596930719488872,0.003309511384563424,0.0069636879997763135,0.017217524944820428,0.0,0.010632394610867124,0.012906392483099355,0.00910680736648356,0.012668671879996318,0.017555412528051317,0.022483766756602352,0.026774230986118197
roi_15,0.0343407742333951,0.029338223319673784,0.058640845434236755,0.02122704787352908,0.025553178907218976,0.03910967766296719,0.008505369954980302,0.017872965743233493,0.038580550088333165,0.010632394610867124,0.0,0.012997524825197143,0.006549101901566545,0.024908953744119278,0.01588030922456718,0.0353375113578267,0.039196613532337166
roi_17,0.021452955074207247,0.013995869681463602,0.04134857333891273,0.009548871877174347,0.011366585152416175,0.02481023220545628,0.0072460848312513315,0.011489337294172064,0.019131729098918887,0.012906392483099355,0.012997524825197143,0.0,0.004535413639622621,0.00394284769322073,0.010701162416393628,0.012447967272295468,0.021101791670578907
roi_18,0.017101941607737703,0.006882325635569342,0.0362667143309624,0.002073017871027427,0.007735821757889727,0.020457315390576325,0.002095226538719963,0.00426303874540418,0.015948365261137187,0.00910680736648356,0.006549101901566545,0.004535413639622621,0.0,0.008124569086996436,0.011491714593102553,0.016933881074013946,0.020961018711644686
roi_20,0.038853668891382864,0.03324334883509672,0.05970376677411371,0.02700095969728622,0.03299597128737064,0.04550830793332061,0.013606416741767546,0.02310241998272311,0.03951030948950007,0.012668671879996318,0.024908953744119278,0.00394284769322073,0.008124569086996436,0.0,0.03573977278923035,0.057776283370493564,0.06329937435235083
roi_21,0.02460878329618546,0.016533278338288715,0.045815844489199176,0.01287573997989841,0.015510446337673872,0.03115980675288746,0.012260877573225276,0.017042007719009822,0.02505443758788964,0.017555412528051317,0.01588030922456718,0.010701162416393628,0.011491714593102553,0.03573977278923035,0.0,0.015632742434241065,0.019954697796111198
roi_23,0.048943953172143506,0.04243945364727697,0.07086896056123804,0.032839796747927585,0.04124640973477456,0.055359766845921476,0.023927517481596494,0.032286663653194325,0.04858365670242959,0.022483766756602352,0.0353375113578267,0.012447967272295468,0.016933881074013946,0.057776283370493564,0.015632742434241065,0.0,0.04360574957062324
roi_25,0.05820553419682889,0.046634535399929955,0.07552617361886516,0.039549264326078026,0.04473413523668024,0.06165231856695763,0.026456685621509657,0.034933843103681916,0.054585482912722416,0.026774230986118197,0.039196613532337166,0.021101791670578907,0.020961018711644686,0.06329937435235083,0.019954697796111198,0.04360574957062324,0.0
